,Word1,Word2,Cosine,Pearson CC,Spearman's rank CC
0,biến,ngập,-0.042331542317191696,"(-0.00610701183181602, 0.9408748731248178)","SpearmanrResult(correlation=-0.020824036623849948, pvalue=0.8003182785188336)"
1,nhà_thi_đấu,nhà,0.5867432998549763,"(0.08199807821099807, 0.31849901998726166)","SpearmanrResult(correlation=0.10522956575847815, pvalue=0.19999225077185984)"
2,động,tĩnh,1.6436950169421212,"(0.2774025533713006, 0.0005887280657697827)","SpearmanrResult(correlation=0.2697417663007245, pvalue=0.0008435070959755315)"
3,khuyết,ưu,1.3433717293236016,"(0.1581444070477984, 0.05325543901012976)","SpearmanrResult(correlation=0.15135428241255167, pvalue=0.06447762772747422)"
4,thủ_pháp,biện_pháp,3.278884705588982,"(0.39534295479808274, 5.53005019557274e-07)","SpearmanrResult(correlation=0.3935126005600249, pvalue=6.303022496682744e-07)"
5,kết_duyên,thành_hôn,3.110024235199738,"(0.46230306864538584, 2.5919180648478648e-09)","SpearmanrResult(correlation=0.44399306635850483, pvalue=1.2628786824643744e-08)"
6,cấp_tiến,bảo_thủ,2.2139779022443857,"(0.25698949052193554, 0.0015002839503072175)","SpearmanrResult(correlation=0.2682803680163563, pvalue=0.0009023415315578579)"
7,nước_lớn,nguy_hiểm,1.3925216687715214,"(0.18792512169962006, 0.021284099638925063)","SpearmanrResult(correlation=0.21139961776078936, pvalue=0.009407910290704436)"
8,hoa,nhị,1.3129670394538864,"(0.21780658136213513, 0.007417758272303627)","SpearmanrResult(correlation=0.23810658251477845, pvalue=0.003344913380353131)"
9,bất_lợi,thuận_lợi,4.071884339941121,"(0.5363032757740254, 1.514877546729809e-12)","SpearmanrResult(correlation=0.427277656784746, pvalue=4.9514453307417543e-08)"
10,phân_ly,sum_họp,0.4244621690351739,"(0.08031516310819187, 0.3285659412459398)","SpearmanrResult(correlation=0.08581892528556825, pvalue=0.2963937665938567)"
11,diễu_hành,tuần_hành,6.008943298198726,"(0.6436002379443908, 6.542479657987628e-19)","SpearmanrResult(correlation=0.5815031779190186, pvalue=6.059451268470931e-15)"
12,cao_trào,thoái_trào,2.952515752313862,"(0.36123776646621275, 5.584296371068951e-06)","SpearmanrResult(correlation=0.3499551091159607, pvalue=1.1344017533083546e-05)"
13,thịnh,suy,0.3810963710857634,"(0.06238945689503152, 0.44817635679758167)","SpearmanrResult(correlation=0.07909862660562693, pvalue=0.335968831178032)"
14,con_voi,ngà,1.7059010443297205,"(0.2353893303311313, 0.0037356761765882053)","SpearmanrResult(correlation=0.22738255033557048, pvalue=0.005137056763777482)"
15,cá_chuối,cá_quả,0.8170745052251205,"(0.16952302770005842, 0.038089420089346404)","SpearmanrResult(correlation=0.15367616338503934, pvalue=0.06044072047389104)"
16,đổ_bê_tông,biếu_xén,-1.00003308055483,"(-0.17281864129281127, 0.03444525963893613)","SpearmanrResult(correlation=-0.137046090937375, pvalue=0.09446046431182761)"
17,con_đẻ,con_ruột,5.263807927524623,"(0.6463663365653425, 4.1454934845254245e-19)","SpearmanrResult(correlation=0.6460642695230899, pvalue=4.358286553103611e-19)"
18,uỷ_nhiệm,phân_công,2.2830473306299095,"(0.27685923820031544, 0.0006041429001211047)","SpearmanrResult(correlation=0.28711498288812837, pvalue=0.0003676000891588149)"
19,bay_lượn,chuyển_động,2.7095304178267896,"(0.3887666887437621, 8.81645444590364e-07)","SpearmanrResult(correlation=0.3408062580559136, pvalue=1.976220070210991e-05)"
20,khêu_gợi,khơi_gợi,1.8521867110125274,"(0.25511696502847886, 0.0016288121913683093)","SpearmanrResult(correlation=0.21535712698342147, pvalue=0.008129561681149804)"
21,thăng_bằng,cân_bằng,3.9598064239155697,"(0.4795926442630075, 5.320187759607824e-10)","SpearmanrResult(correlation=0.5003297924352194, pvalue=7.062078803928257e-11)"
22,chọn_lựa,tuyển_chọn,3.3543331806539047,"(0.4707206261307985, 1.2122479613471687e-09)","SpearmanrResult(correlation=0.4466562958353705, pvalue=1.0088599089782546e-08)"
23,có_ích,hữu_ích,5.141659527208436,"(0.6628751716145144, 2.4612344200982523e-20)","SpearmanrResult(correlation=0.665503355704698, pvalue=1.5442380411759175e-20)"
24,cứng_rắn,nhỏ_nhắn,1.5540516787797454,"(0.2255342769145438, 0.0055208807452649675)","SpearmanrResult(correlation=0.17314725098893285, pvalue=0.03409862766583469)"
25,lỗ_đen,hố_đen,5.527812833137274,"(0.7343495629364114, 1.1036299277239498e-26)","SpearmanrResult(correlation=0.735028223476599, pvalue=9.392848021936815e-27)"
26,vùi,đóng,-0.10352615602320282,"(-0.015242486370044987, 0.8531265655331255)","SpearmanrResult(correlation=0.01690208453709054, pvalue=0.8373452717493959)"
27,tính_tình,tính_khí,5.611356315837649,"(0.6889550898165033, 1.9381407817593437e-22)","SpearmanrResult(correlation=0.6581892528556825, pvalue=5.585741149273533e-20)"
28,mục_sư,giáo_sĩ,4.193377603988057,"(0.5962417684286276, 8.276305177062505e-16)","SpearmanrResult(correlation=0.5581243610827149, pvalue=1.1692934086270544e-13)"
29,cộng_đồng,dân_tộc,2.2588413200826643,"(0.3769364610389419, 1.9898176416645176e-06)","SpearmanrResult(correlation=0.3965669585314903, pvalue=5.064555932543999e-07)"
30,rớ,sờ,2.3400490214984573,"(0.394447910558326, 5.895988692303836e-07)","SpearmanrResult(correlation=0.39092404106849193, pvalue=7.573986886086226e-07)"
31,trả_đũa,đền_đáp,2.217901258730593,"(0.23553582822276045, 0.0037136043558674164)","SpearmanrResult(correlation=0.24701364505089116, pvalue=0.0023087255704541476)"
32,tay_cầm,phân_đạm,-0.2279346650383137,"(-0.029801521856465896, 0.7173373004171024)","SpearmanrResult(correlation=-0.028543490821814302, pvalue=0.7287932930477593)"
33,liên_hệ,nguỵ_trang,0.7388541636979079,"(0.09150775822943295, 0.2654081099333809)","SpearmanrResult(correlation=0.10170585359349305, pvalue=0.2155562971204326)"
34,mới_tinh,mới_toanh,3.0642449225163073,"(0.48162360082113176, 4.391409538632718e-10)","SpearmanrResult(correlation=0.47084581536957204, pvalue=1.198437369079929e-09)"
35,cột_trụ,bệ,3.236992729067405,"(0.4422103747327875, 1.4661548503646456e-08)","SpearmanrResult(correlation=0.374404195742033, pvalue=2.358848458621347e-06)"
36,họp_mặt,tiệc,3.559476798263943,"(0.43121385329335926, 3.6130420300905835e-08)","SpearmanrResult(correlation=0.3615965154006845, pvalue=5.4574276939230135e-06)"
37,lộn_xộn,gọn_gàng,2.4465314878137305,"(0.34442906547866625, 1.5895561339619233e-05)","SpearmanrResult(correlation=0.3341926307835904, pvalue=2.9204697797561575e-05)"
38,chủ_động,thụ_động,2.9349831111206863,"(0.48067593183462454, 4.803428466537451e-10)","SpearmanrResult(correlation=0.4770540912929464, pvalue=6.750116373123933e-10)"
39,vali,tay_cầm,1.2968367248591017,"(0.16587118351660887, 0.042501179021042876)","SpearmanrResult(correlation=0.1912102760122672, pvalue=0.019082424035695444)"
40,ghen_tị,ghen_ghét,2.6068265713455814,"(0.3518437697724549, 1.0093893205448532e-05)","SpearmanrResult(correlation=0.3204106849193297, pvalue=6.407132881702771e-05)"
41,ngôn_ngữ_học,khoa_học,3.198938303743605,"(0.5358115445068992, 1.6015237795901318e-12)","SpearmanrResult(correlation=0.48395573136583847, pvalue=3.517626900472423e-10)"
42,thu_gom,tiếp_sức,1.3399703345693874,"(0.17220195693620566, 0.035103811546630406)","SpearmanrResult(correlation=0.20693719720876483, pvalue=0.01105942987013567)"
43,quy_trình,sáng_tác,-0.6727476129483644,"(-0.09597905278863324, 0.2426598001791669)","SpearmanrResult(correlation=-0.09266722965465131, pvalue=0.25937414551268245)"
44,thành_thị,thị_thành,2.700890727936604,"(0.41471758508150275, 1.318111365605192e-07)","SpearmanrResult(correlation=0.4203333481488067, pvalue=8.550076378538219e-08)"
45,nhảy_nhót,nhích,1.4626789223956658,"(0.1894756149690313, 0.020219088897851754)","SpearmanrResult(correlation=0.18043646384283746, pvalue=0.02713515808501875)"
46,ly_tâm,hướng_tâm,0.6723141449888732,"(0.10554868885419887, 0.19862389494091523)","SpearmanrResult(correlation=0.12233965954042403, pvalue=0.13585059893952534)"
47,cống,đường_ống,5.417135008230241,"(0.6645572417504816, 1.8273643688288927e-20)","SpearmanrResult(correlation=0.6700013333925953, pvalue=6.877975742261973e-21)"
48,còm,nhỏ_nhoi,1.0245511336085387,"(0.1617500595952846, 0.047985694208812164)","SpearmanrResult(correlation=0.1522681008044802, pvalue=0.06286329760813272)"
49,bánh_răng,răng,1.8467744573081912,"(0.25819332142279555, 0.001422611514137229)","SpearmanrResult(correlation=0.27684963776167837, pvalue=0.0006044185944511614)"
50,nao_núng,kiên_định,1.9159078107807472,"(0.2366086228094263, 0.003555517103394316)","SpearmanrResult(correlation=0.21033645939819548, pvalue=0.009780253902147113)"
51,bằng_hữu,bầu_bạn,1.7369669291064287,"(0.32368821955289573, 5.333346917901906e-05)","SpearmanrResult(correlation=0.33602026756744746, pvalue=2.624011638684358e-05)"
52,thân,lưng,1.9224139559819917,"(0.314754791024665, 8.749733147287678e-05)","SpearmanrResult(correlation=0.3099675541135162, pvalue=0.00011335586215770181)"
53,bút_chì,lô,1.046207733071009,"(0.13725467170204422, 0.09395512659026033)","SpearmanrResult(correlation=0.11981154717987468, pvalue=0.14418668155646727)"
54,cổng,ổ_khoá,2.622828668874303,"(0.3539175679593644, 8.871646882156043e-06)","SpearmanrResult(correlation=0.3598079914662874, pvalue=6.11822739986566e-06)"
55,dị_bản,đĩa_bay,1.1014104666915419,"(0.15885155478175597, 0.05218580912790189)","SpearmanrResult(correlation=0.11890839592870796, pvalue=0.14725696419906806)"
56,truy_cập,thâm_nhập,3.915716156942423,"(0.49927893050818073, 7.848771251960211e-11)","SpearmanrResult(correlation=0.5053824614427308, pvalue=4.228595891931521e-11)"
57,âm,nguy_hiểm,0.5694996552665845,"(0.09131253090240007, 0.2664334228751275)","SpearmanrResult(correlation=0.10080981376950088, pvalue=0.21964821662300563)"
58,thăng_trầm,khô_kiệt,-0.05721364950366366,"(-0.011099300620380101, 0.8927659898760083)","SpearmanrResult(correlation=-0.006604737988355039, pvalue=0.9360659661473121)"
59,thay_thế,biến_đổi,1.2721894605243675,"(0.18916793938166215, 0.020426688527137856)","SpearmanrResult(correlation=0.1464011733854838, pvalue=0.07382664840875527)"
60,ban_công,lan_can,4.507265848381687,"(0.546640690484625, 4.606692873870344e-13)","SpearmanrResult(correlation=0.5349339970665363, pvalue=1.7682561741818487e-12)"
61,dưới,trên,1.2069519172303305,"(0.2284823966401565, 0.0049201536290896615)","SpearmanrResult(correlation=0.24096893195253122, pvalue=0.002973489646983169)"
62,kháng_cự,phản_đối,0.4729466399960295,"(0.039780431102649685, 0.6288653790448914)","SpearmanrResult(correlation=0.05269389750655585, pvalue=0.521904678431764)"
63,vế,vai_vế,1.3386386190083852,"(0.1951535730635043, 0.01670230260270317)","SpearmanrResult(correlation=0.14944486421618738, pvalue=0.06796013499937723)"
64,vắng_lặng,ồn_ào,4.018313631170428,"(0.5549626657044127, 1.7145293422748093e-13)","SpearmanrResult(correlation=0.5658402595670919, pvalue=4.516617911105707e-14)"
65,xót_thương,đau_lòng,4.155436123364008,"(0.5395524494978247, 1.0465937582390968e-12)","SpearmanrResult(correlation=0.4802649006622517, pvalue=4.993522184173465e-10)"
66,găng_tay,quần_áo,3.2906338181696895,"(0.4437703351401126, 1.2867093544143971e-08)","SpearmanrResult(correlation=0.3890181785857149, pvalue=8.662191882779841e-07)"
67,sinh_vật_cảnh,đồng_dao,1.2112340355725268,"(0.18891614667325887, 0.020597948708382562)","SpearmanrResult(correlation=0.14498599937775014, pvalue=0.07669053287639653)"
68,lặn,mọc,1.4562114371596009,"(0.1959925511497122, 0.01623059147509724)","SpearmanrResult(correlation=0.1895959820436464, pvalue=0.020138370231956713)"
69,bồ_bịch,nhân_tình,2.8928365498577704,"(0.42206489047524065, 7.469886608809271e-08)","SpearmanrResult(correlation=0.3784754877994578, pvalue=1.7930925675568042e-06)"
70,bằng_chứng,chứng_cứ,6.043725950943159,"(0.730497131799504, 2.7308532412211264e-26)","SpearmanrResult(correlation=0.7294670874261079, pvalue=3.470229612675776e-26)"
71,hạ_màn,mở_màn,3.612470322735413,"(0.48506433314059605, 3.163677698891273e-10)","SpearmanrResult(correlation=0.4321916529623539, pvalue=3.3389094929537946e-08)"
72,ca_tụng,đoàn_kết,0.485746275887812,"(0.06677954184943509, 0.4168237898916933)","SpearmanrResult(correlation=0.05829414640650695, pvalue=0.4785821096668944)"
73,ngày,đêm,3.0907195801977276,"(0.5021600010166742, 5.870462439527897e-11)","SpearmanrResult(correlation=0.4927774567758567, pvalue=1.49673795804302e-10)"
74,lan_can,rào,3.817715255118135,"(0.49444098645884277, 1.2704981329617145e-10)","SpearmanrResult(correlation=0.5008418151917863, pvalue=6.706974866563772e-11)"
75,trở_lại,đảo_ngược,1.9476642250792666,"(0.26223286067384993, 0.0011880254156728502)","SpearmanrResult(correlation=0.258367038535046, pvalue=0.0014117111943801456)"
76,nhạc_nhẹ,tiểu_học,-0.06035701981733435,"(-0.027091359681804268, 0.7420915968891055)","SpearmanrResult(correlation=-0.015885150451131164, pvalue=0.8470081390287184)"
77,tự_do,đức_tính,0.011092595423868425,"(0.00438887425930053, 0.9574904081799154)","SpearmanrResult(correlation=-0.0003395706475843371, pvalue=0.996709467053519)"
78,hợp_nhất,liên_kết,2.184839731461371,"(0.33859444352985624, 2.254193751392317e-05)","SpearmanrResult(correlation=0.25467976354504646, pvalue=0.0016602303639730543)"
79,hoàng_tộc,hoàng_gia,2.7690946957699514,"(0.4382132883846443, 2.0425169306320578e-08)","SpearmanrResult(correlation=0.4078847948797724, pvalue=2.2084773272247572e-07)"
80,đầu_mối,chỗ,1.0161568107665673,"(0.16445635992619592, 0.04432171434859298)","SpearmanrResult(correlation=0.1775101115605138, pvalue=0.02976920406954252)"
81,tinh_luyện,hoá_lỏng,2.850630389392425,"(0.36120631168129297, 5.595552355624752e-06)","SpearmanrResult(correlation=0.3528921285390462, pvalue=9.4573829066885e-06)"
82,bí_hiểm,bí_mật,1.8803424084686085,"(0.28846880914434103, 0.0003437767113159171)","SpearmanrResult(correlation=0.24174052180096894, pvalue=0.0028799561650005422)"
83,chung_tình,phụ_bạc,2.7066397865181604,"(0.39158534137742, 7.227843660980894e-07)","SpearmanrResult(correlation=0.369081292501889, pvalue=3.3573433561847935e-06)"
84,bàn_cãi,cân_nhắc,2.429545986499992,"(0.2761785071500179, 0.0006239810863593994)","SpearmanrResult(correlation=0.25923818836392726, pvalue=0.0013581893770218249)"
85,nhảy_cao,ném_đĩa,2.4045122243709143,"(0.4626890622000527, 2.5042764569476377e-09)","SpearmanrResult(correlation=0.44721454286857193, pvalue=9.622343272618557e-09)"
86,tiếng_chuông,âm_thanh,2.8620701329578084,"(0.37821194373508205, 1.8254124062739758e-06)","SpearmanrResult(correlation=0.33525934485977155, pvalue=2.7438217623816778e-05)"
87,tha_thẩn,thơ_thẩn,3.331653309709827,"(0.6562897056915095, 7.754740088911447e-20)","SpearmanrResult(correlation=0.618610604915774, pvalue=3.295481777009909e-17)"
88,thuyền,bánh_lái,2.702987386877817,"(0.3939822768821304, 6.095386170900203e-07)","SpearmanrResult(correlation=0.35976532290324015, pvalue=6.134881328276554e-06)"
89,nấp,hiện,0.23973161355165204,"(0.031750836520967246, 0.6997107365323573)","SpearmanrResult(correlation=-0.009225298902173431, pvalue=0.9107888577767922)"
90,cất,giấu,3.2911658065433804,"(0.42212599989712524, 7.434262759521948e-08)","SpearmanrResult(correlation=0.4129161296057603, pvalue=1.5119281356146599e-07)"
91,âm,gốc,1.8790298183333403,"(0.3014360420110075, 0.0001778866805977879)","SpearmanrResult(correlation=0.31383261478287927, pvalue=9.200362355773621e-05)"
92,đặt,thả_lỏng,0.8419890381867058,"(0.11982802301900364, 0.14413112622157087)","SpearmanrResult(correlation=0.13617849682208097, pvalue=0.09658560035997087)"
93,chỉnh_hình,tiểu_học,0.9063827548361746,"(0.13426151184072932, 0.10141537197621178)","SpearmanrResult(correlation=0.05868527490110672, pvalue=0.4756308223306145)"
94,tẩy,cạn,1.0912138787810983,"(0.1401567856504179, 0.08714434646326721)","SpearmanrResult(correlation=0.10409529312413886, pvalue=0.2049109862432126)"
95,cây_trồng,đĩa_bay,0.7924548953533562,"(0.10511382572237984, 0.20049020796947706)","SpearmanrResult(correlation=0.10173429930219122, pvalue=0.2154272911129216)"
96,chỉnh_hình,luồng,-1.4807680918529516,"(-0.18047195081322437, 0.027104479224191416)","SpearmanrResult(correlation=-0.15471443175252234, pvalue=0.05870387908459005)"
97,màng_tế_bào,bảng_tổng_sắp,-0.17112763182510404,"(-0.019100631716336757, 0.8165394064301873)","SpearmanrResult(correlation=-0.0017583003689052845, pvalue=0.9829628198484006)"
98,ngót_nghét,xấp_xỉ,3.011159186213042,"(0.4261907660700797, 5.3977958142400613e-08)","SpearmanrResult(correlation=0.42371127605671366, pvalue=6.565027730019333e-08)"
99,biến_động,cố_định,1.698774833929355,"(0.23695242144775003, 0.003506152462858005)","SpearmanrResult(correlation=0.20543668607493668, pvalue=0.01166940049665144)"
100,khuyết_điểm,ưu_điểm,3.2983938069483676,"(0.39233146195989643, 6.855420164249766e-07)","SpearmanrResult(correlation=0.35871994310858263, pvalue=6.556570395425407e-06)"
101,nhạo_báng,khiếm_nhã,3.3688836797230137,"(0.47592962869945327, 7.496116660775289e-10)","SpearmanrResult(correlation=0.4463718387483888, pvalue=1.0334465135134299e-08)"
102,hại,lợi,1.7305498528107774,"(0.23630329977477776, 0.003599880943604375)","SpearmanrResult(correlation=0.14879416862971687, pvalue=0.0691813229015751)"
103,bướu_cổ,bệnh_tật,2.639962090051421,"(0.3969437990417629, 4.928938781146154e-07)","SpearmanrResult(correlation=0.38966531845859814, pvalue=8.276978124512223e-07)"
104,cây_thuốc,cây_hoa_màu,1.9521666537848636,"(0.3659857410809909, 4.110551864850224e-06)","SpearmanrResult(correlation=0.35990044001955646, pvalue=6.082290665108322e-06)"
105,tinh_lọc,tinh_chế,3.1297965086117,"(0.5155369044279162, 1.4701628134687403e-11)","SpearmanrResult(correlation=0.45634561536068274, pvalue=4.383821850214006e-09)"
106,bức_bối,nguỵ_trang,-0.3246686260592306,"(-0.05087772312863087, 0.5363708565638887)","SpearmanrResult(correlation=-0.05664073958842616, pvalue=0.4911666965516549)"
107,thân_thể,đầu,-0.29087179276447317,"(-0.05012973963208077, 0.5423862121394822)","SpearmanrResult(correlation=-0.03566202942352993, pvalue=0.6648310033890942)"
108,quỷ_quyệt,xảo_quyệt,3.1432137476304636,"(0.6464246495191566, 4.1056004526082966e-19)","SpearmanrResult(correlation=0.624260633805947, pvalue=1.4009586937102917e-17)"
109,hoang_phí,hà_tiện,3.0019150954124205,"(0.5032063874709528, 5.279234086064654e-11)","SpearmanrResult(correlation=0.493175696697631, pvalue=1.4392705760932198e-10)"
110,cóp_nhặt,để_dành,0.8902635415075075,"(0.1512462763271036, 0.0646706469119127)","SpearmanrResult(correlation=0.14400817814125072, pvalue=0.07872122256566001)"
111,may,rủi,0.6171870523668828,"(0.07524628310577601, 0.3601056182635087)","SpearmanrResult(correlation=0.08580825814480644, pvalue=0.29645403057374986)"
112,tum,chân_vịt,1.303088861207861,"(0.17354632014957197, 0.03368164452136406)","SpearmanrResult(correlation=0.2000497799902218, pvalue=0.014109362530095985)"
113,nhạo,vèo,0.8143180033271871,"(0.15452861667771922, 0.059011665521155325)","SpearmanrResult(correlation=0.07502377883461488, pvalue=0.36153186171726504)"
